OrganizationId,Program,CertificationProgram,OrganizationName,StreetAddress,City,State,PostalCode,plus4,CertificationDecision,EffectiveDate
7615,DSC     ,Acute Stroke Ready Hospital             ,Langlade Hospital-Hotel Dieu of St Joseph of Antigo Wis,112 East Fifth Avenue,Antigo,WI,54409,,Certification                           ,03/23/2022
,DNV,Acute Stroke Ready Hospital             ,ThedaCare Medical Center - Berlin,225 Memorial Dr,Berlin,WI,54923,,Certification                           ,10/11/22
,DNV,Acute Stroke Ready Hospital             ,Aurora Medical Center - Burlington,252 Mchenry St,Burlington,WI,53105,,Certification                           ,5/24/23
,DNV,Acute Stroke Ready Hospital             ,Aurora Lakeland Medical Center,W3985 County Rd NN,Elkhorn,WI,53121,,Certification                           ,5/23/22
,DNV,Acute Stroke Ready Hospital             ,Aurora Medical Center - Washington County,1032 E Sumner St,Hartford,WI,53027,1698,Certification                           ,5/20/22
,DNV,Acute Stroke Ready Hospital             ,Hudson Hospital & Clinic,405 Stageline Rd,Hudson,WI,54016,7848,Certification                           ,12/29/20
7644,DSC     ,Acute Stroke Ready Hospital             ,Mercy Health System Corporation,1000 Mineral Point Avenue,Janesville,WI,53548,,Certification                           ,12/07/2022
,DNV,Acute Stroke Ready Hospital             ,Aurora Medical Center - Bay Area,3003 University Dr,Marinette,WI,54143,4110,Certification                           ,5/19/22
4438,DSC     ,Acute Stroke Ready Hospital             ,"Aspirus Medford Hospital & Clinics, Inc.",135 South Gibson Street,Medford,WI,54451,,Certification                           ,04/14/2021
,DNV,Acute Stroke Ready Hospital             ,ThedaCare Medical Center - New London,1405 Mill St,New London,WI,54961,,Certification                           ,10/13/22
7697,DSC     ,Acute Stroke Ready Hospital             ,Lakeview Medical Center,1700 West Stout Street,Rice Lake,WI,54868,,Certification                           ,07/20/2022
,DNV,Acute Stroke Ready Hospital             ,St. Croix Health,235 E State St,Saint Croix Falls,WI,54024,,Certification                           ,2/2/23
,DNV,Acute Stroke Ready Hospital             ,ThedaCare Medical Center - Shawano,100 County Rd B,Shawano,WI,54166,,Certification                           ,10/19/22
,DNV,Acute Stroke Ready Hospital             ,ThedaCare Medical Center - Waupaca,800 Riverside Dr,Waupaca,WI,54981,,Certification                           ,10/18/22
,DNV,Acute Stroke Ready Hospital             ,ThedaCare Medical Center - Wild Rose,601 Grove Ave,Wild Rose,WI,54984,,Certification                           ,10/12/22
4447,DSC     ,Acute Stroke Ready Hospital             ,Aspirus Riverview Hospital and Clinics,410 Dewey Street,Wisconsin Rapids,WI,54495,,Certification                           ,02/12/2022
,DNV,Advanced Comprehensive Stroke Center    ,Aurora BayCare Medical Center,2845 Greenbrier Rd,Green Bay,WI,54308,,Certification                           ,5/18/22
,DNV,Advanced Comprehensive Stroke Center    ,HSHS St. Vincent Hospital,835 S Van Buren St,Green Bay,WI,54307,,Certification                           ,9/18/20
7656,DSC     ,Advanced Comprehensive Stroke Center    ,University of Wisconsin Hospitals and Clinics Authority,600 Highland Avenue,Madison,WI,53792,,Certification                           ,12/14/2022
7677,DSC     ,Advanced Comprehensive Stroke Center    ,"Ascension Columbia St. Mary's Hospital Milwaukee, Inc",2301 North Lake Drive,Milwaukee,WI,53211,,Certification                           ,01/20/2023
7718,DSC     ,Advanced Comprehensive Stroke Center    ,"Froedtert Memorial Lutheran Hospital, Inc",9200 West Wisconsin Avenue,Milwaukee,WI,53226,,Certification                           ,02/03/2022
,DNV,Advanced Comprehensive Stroke Center    ,Aurora Health Care Metro Inc,2900 W Oklahoma Ave,Milwaukee,WI,53215,4330,Certification                           ,5/18/22
