FIPS,RUCA_urban_code,sec_RUCA_urban_code,pop,land_area,pop_density
55001950100,5,5,"2,973",90.3,32.9
55001950201,10,10,"1,379",42.5,32.4
55001950202,10,10,"2,674",180.6,14.8
55001950400,10,10,"4,767",91.0,52.4
55001950501,10,10,"1,469",44.1,33.3
55001950502,10,10,"4,112",96.3,42.7
55001950700,6,6,"3,501",100.9,34.7
55003940000,8,8,"1,867",216.8,8.6
55003950300,7,7,"2,696",2.2,"1,226.2"
55003950400,7,7,"2,410",3.3,725.7
55003950500,8,8,"2,201",131.7,16.7
55003950600,10,10.3,"1,391",200.5,6.9
55003950700,10,10,"2,206",404.3,5.5
55003950800,7,7,"3,386",86.2,39.3
55003990000,99,99,0,0.0,
55005000100,8,8,"3,829",130.0,29.5
55005000200,10,10,"3,933",70.5,55.8
55005000300,10,10,"4,215",98.3,42.9
55005000400,7,7,"5,465",83.7,65.3
55005000500,7,7,"4,242",7.9,533.8
55005000600,7,7,"6,182",7.1,867.7
55005000800,8,8,"5,435",105.2,51.7
55005000900,10,10,"5,123",217.4,23.6
55005001001,9,9,"1,874",77.9,24.1
55005001002,7,7,"5,572",64.7,86.1
55007960100,10,10,"2,713",176.1,15.4
55007960200,10,10,"1,679",323.5,5.2
55007960300,8,8,"3,661",134.1,27.3
55007960400,8,8,"4,926",505.2,9.8
55007960600,10,10,"2,035",339.0,6.0
55007990000,99,99,0,0.0,
55009000100,1,1,"2,690",2.8,950.5
55009000200,1,1,"5,963",1.2,"5,033.3"
55009000302,1,1,"4,553",1.1,"4,220.6"
55009000303,1,1,"2,811",0.7,"3,869.4"
55009000401,1,1,"4,632",0.9,"4,933.3"
55009000402,1,1,"2,343",0.7,"3,363.3"
55009000500,1,1,"2,953",0.5,"6,557.0"
55009000600,1,1,"4,097",0.8,"4,933.4"
55009000700,1,1,"4,945",0.9,"5,238.8"
55009000800,1,1,"1,835",0.8,"2,280.5"
55009000900,1,1,"4,029",1.2,"3,393.6"
55009001000,1,1,"1,538",0.6,"2,667.3"
55009001100,1,1,"2,081",0.4,"5,283.2"
55009001200,1,1,"2,323",0.3,"8,417.2"
55009001300,1,1,"3,022",0.5,"5,675.3"
55009001400,1,1,"3,804",0.8,"4,590.8"
55009001600,1,1,"6,505",1.4,"4,610.0"
55009001701,1,1,"3,528",0.7,"4,922.5"
55009001702,1,1,"3,529",1.1,"3,198.0"
55009001801,1,1,"4,971",4.4,"1,121.4"
55009001802,1,1,"5,449",7.5,730.4
55009002001,1,1,"8,222",2.7,"3,051.5"
55009002002,1,1,"5,157",1.4,"3,716.7"
55009002003,1,1,"3,278",5.3,622.2
55009010100,1,1,"6,254",1.9,"3,368.7"
55009010201,1,1,"4,581",1.5,"2,956.2"
55009010202,1,1,"5,002",2.5,"2,003.4"
55009010300,1,1,"6,892",6.6,"1,040.2"
55009020100,2,2,"5,645",64.0,88.2
55009020203,1,1,"6,367",19.4,328.0
55009020204,1,1,"4,979",17.0,293.0
55009020502,1,1,"5,306",8.0,666.2
55009020503,1,1,"7,705",3.4,"2,235.3"
55009020504,1,1,"4,388",6.8,645.5
55009020600,2,2,"5,172",60.2,85.9
55009020702,1,1,"5,884",45.8,128.5
55009020703,1,1,"6,963",6.7,"1,032.4"
55009020704,1,1,"7,710",7.5,"1,033.2"
55009020800,1,1,"2,230",1.0,"2,194.1"
55009020900,1,1,"2,771",0.8,"3,560.9"
55009021000,1,1,"2,731",1.1,"2,377.2"
55009021100,1,1,"1,092",0.1,"14,969.8"
55009021200,1,1,"5,151",1.6,"3,232.0"
55009021301,1,1,"3,305",1.0,"3,275.6"
55009021302,1,1,"6,183",2.6,"2,354.7"
55009021303,1,1,"3,955",3.9,"1,026.5"
55009021304,1,1,"2,117",1.7,"1,233.3"
55009021400,2,2,"7,038",58.4,120.6
55009021500,2,2,"3,118",72.3,43.1
55009021600,2,2,"5,929",34.3,172.8
55009940001,1,1,"14,585",53.5,272.7
55009940002,1,1,"4,729",4.5,"1,062.4"
55009940003,1,1,"3,298",1.6,"2,084.4"
55009940004,1,1,"2,669",1.3,"2,052.8"
55011960100,10,10,"2,726",231.6,11.8
55011960200,10,10.1,"2,900",11.4,254.0
55011960300,10,10,"2,163",129.3,16.7
55011960400,5,5,"2,518",127.3,19.8
55011960500,5,5,"3,280",172.1,19.1
55013970400,10,10,"3,780",244.4,15.5
55013970600,10,10,"1,913",152.0,12.6
55013970700,10,10,"2,489",108.1,23.0
55013970800,10,10,"2,329",80.4,29.0
55013970900,10,10,"3,019",113.8,26.5
55013971000,10,10,"1,927",123.2,15.6
55015020100,7,7,"4,634",35.8,129.5
55015020200,3,3,"3,908",97.0,40.3
55015020303,1,1,"3,878",0.8,"4,976.0"
55015020304,1,1,"3,827",0.7,"5,259.2"
55015020306,1,1,"6,453",28.8,224.3
55015020308,1,1,"2,997",5.1,583.0
55015020400,3,3,"3,421",73.4,46.6
55015020500,7,7,"5,106",37.4,136.6
55015020600,7,7,"5,053",34.5,146.5
55015020700,1,1,"4,136",1.5,"2,746.4"
55015020800,1,1,"5,558",3.2,"1,747.8"
55017010100,1,1,"3,004",5.9,507.5
55017010200,1,1,"6,767",13.5,501.4
55017010300,1,1,"5,465",2.1,"2,662.5"
55017010400,2,2,"4,876",106.2,45.9
55017010500,1,1,"5,378",7.5,719.8
55017010700,1,1,"7,226",34.9,206.9
55017010800,2,2,"7,061",129.3,54.6
55017010900,7,7,"4,820",198.6,24.3
55017011000,2,2,"7,085",200.8,35.3
55017011100,2,2,"4,077",196.3,20.8
55017011200,7,7.1,"6,656",113.2,58.8
55019950100,7,7,"4,950",40.6,121.8
55019950200,10,10,"4,520",121.0,37.4
55019950300,10,10,"4,350",112.7,38.6
55019950400,10,10,"3,988",217.8,18.3
55019950500,10,10,"5,277",158.9,33.2
55019950600,10,10,"4,797",211.8,22.7
55019950700,10,10,"3,635",40.2,90.4
55019950800,10,10,"3,173",306.8,10.3
55021970100,10,10,"4,153",142.3,29.2
55021970200,2,2,"5,868",72.4,81.1
55021970300,4,4,"4,008",73.6,54.5
55021970400,4,4,"6,557",13.2,496.3
55021970500,4,4,"4,316",5.6,765.9
55021970600,5,5,"4,632",103.8,44.6
55021970700,2,2,"4,206",40.3,104.3
55021970800,2,2,"5,605",47.5,118.1
55021970900,2,2,"4,695",50.1,93.7
55021971000,2,2,"3,971",107.6,36.9
55021971100,7,7.1,"3,622",93.0,39.0
55021971200,7,7.1,"5,200",16.1,322.4
55023960100,10,10,"2,802",137.8,20.3
55023960200,10,10,"2,291",135.8,16.9
55023960300,9,9,"2,486",202.3,12.3
55023960400,10,10.3,"3,233",85.5,37.8
55023960500,7,7,"1,994",0.9,"2,222.4"
55023960600,7,7,"3,838",8.4,459.1
55025000100,1,1,"2,604",0.8,"3,239.6"
55025000201,1,1,"2,149",0.7,"2,983.7"
55025000202,1,1,"3,016",0.9,"3,258.1"
55025000204,1,1,"5,012",1.0,"4,845.3"
55025000205,1,1,"5,131",1.6,"3,244.7"
55025000300,1,1,"5,380",0.9,"5,914.0"
55025000401,1,1,"3,148",0.7,"4,489.5"
55025000402,1,1,"2,451",1.1,"2,263.7"
55025000405,1,1,"5,761",1.7,"3,457.5"
55025000406,1,1,"2,968",1.2,"2,399.6"
55025000407,1,1,"5,661",1.1,"5,323.3"
55025000408,1,1,"1,685",1.5,"1,115.5"
55025000501,1,1,"4,670",1.3,"3,609.2"
55025000503,1,1,"7,033",1.3,"5,390.5"
55025000504,1,1,"6,738",1.9,"3,512.1"
55025000600,1,1,"5,647",1.2,"4,644.6"
55025000700,1,1,"3,211",0.9,"3,618.6"
55025000800,1,1,"3,557",0.7,"4,822.1"
55025000901,1,1,"2,142",0.2,"8,599.1"
55025000902,1,1,"5,310",0.5,"10,196.5"
55025001000,1,1,"2,301",0.6,"3,792.0"
55025001101,1,1,"4,197",0.3,"16,255.0"
